symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
PLX,NR7,2025-01-02,2025-01-03,37.3,36.0,39.0,2025-03-07,41.0,REVERSAL_DOUBLE_TOP,11.15,40,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.9% — SL hẹp, risk thấp"
PLX,SPRING,2025-03-07,2025-03-10,41.61,40.0,44.0,2025-03-14,40.0,SL,-3.87,4,HH: đỉnh 43 > 42 | HL: đáy 41 > 41 | Volume phiên tăng > giảm
PLX,NR7,2025-03-18,2025-03-19,40.44,39.0,43.0,2025-03-28,39.0,SL,-3.56,7,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.9% — SL hẹp, risk thấp"
PLX,HAMMER,2025-03-31,2025-04-01,38.56,37.0,41.0,2025-04-03,37.0,SL,-4.15,2,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 38 | RSI 28.6 — vùng oversold
PLX,INSIDE_BAR,2025-04-11,2025-04-14,34.16,32.0,37.0,2025-04-16,32.0,SL,-6.32,2,Inside bar [32–32] trong mother [30–32] | Đóng cửa 34 vượt đỉnh IB 32 | Volume 2.4× TB20 xác nhận breakout
PLX,HAMMER,2025-04-22,2025-04-23,32.61,31.0,35.0,2025-05-23,33.0,TSL,1.2,19,Bóng dưới 2 > 2× thân 1 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 32 | RSI 33.8 — vùng oversold
PLX,HAMMER,2025-05-26,2025-05-27,33.72,32.0,36.0,2025-07-16,37.0,REVERSAL_MA20_BREAK,10.47,36,Bóng dưới 1 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 32
PLX,NR7,2025-07-17,2025-07-18,37.15,36.0,39.0,2025-08-01,36.0,SL,-3.1,10,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.9% — SL hẹp, risk thấp"
PLX,BREAKOUT_RETEST_ENTRY,2025-08-06,2025-08-07,37.5,36.0,40.0,2025-08-22,36.0,SL,-4.0,11,Breakout 10 bars trước tại level 38 | Retest thành công (cách -1.2%) | Nến đóng xanh — support giữ vững
PLX,MACD_CROSSOVER,2025-09-17,2025-09-18,36.1,35.0,38.0,2025-09-22,35.0,SL,-3.05,2,MACD crossover bullish (hist=0.00)
PLX,MACD_CROSSOVER,2025-10-10,2025-10-13,33.7,33.0,35.0,2025-10-20,33.0,SL,-2.08,5,MACD crossover bullish (hist=0.01)
PLX,MACD_CROSSOVER,2025-10-22,2025-10-23,34.6,34.0,36.0,2025-10-28,34.0,SL,-1.73,3,MACD crossover bullish (hist=0.06)
PLX,BB_SQUEEZE,2025-10-28,2025-10-29,34.1,33.0,36.0,2025-12-12,34.0,TSL,-0.29,32,BB squeeze: width 0.045 ≈ min 20 phiên (0.045) | Giá trên BB mid — bias bullish
PLX,NR7,2025-12-15,2025-12-16,34.0,33.0,36.0,2026-02-12,52.0,REVERSAL_TREND_BREAK,52.06,40,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.0% — SL hẹp, risk thấp"
PLX,NR7,2026-02-12,2026-02-13,51.6,49.0,56.0,2026-03-11,55.0,REVERSAL_MA20_BREAK,6.98,13,"NR7: range 2 nhỏ nhất 7 phiên — sắp bung | ATR 6.3% — SL hẹp, risk thấp"
PLX,NR7,2026-03-11,2026-03-12,55.0,52.0,60.0,2026-03-12,52.0,SL,-5.45,0,"NR7: range 4 nhỏ nhất 7 phiên — sắp bung | ATR 7.5% — SL hẹp, risk thấp"
PLX,NR7,2026-03-12,2026-03-13,52.0,49.0,56.0,2026-03-13,49.0,SL,-5.77,0,"NR7: range 3 nhỏ nhất 7 phiên — sắp bung | ATR 7.8% — SL hẹp, risk thấp"
PLX,NR7,2026-03-16,2026-03-17,47.9,46.0,51.0,2026-03-17,46.0,SL,-3.97,0,"NR7: range 3 nhỏ nhất 7 phiên — sắp bung | ATR 8.9% — SL hẹp, risk thấp"
PLX,NR7,2026-03-17,2026-03-18,45.2,43.0,49.0,2026-03-18,48.0,REVERSAL_MA20_BREAK,7.19,0,"NR7: range 3 nhỏ nhất 7 phiên — sắp bung | ATR 8.9% — SL hẹp, risk thấp"
PLX,BULLISH_ENGULFING,2026-03-18,2026-03-19,48.1,46.0,51.0,2026-03-19,46.0,SL,-4.37,0,Engulfing: [45–48] nuốt [46–48] (body 7.2%) | Volume xanh 1.8× bar đỏ | Tại support 48
PLX,NR7,2026-03-19,2026-03-20,46.6,44.0,50.0,2026-03-20,44.0,SL,-5.58,0,"NR7: range 2 nhỏ nhất 7 phiên — sắp bung | ATR 8.6% — SL hẹp, risk thấp"
PLX,NR7,2026-03-25,2026-03-26,41.3,39.0,45.0,2026-04-06,39.0,SL,-5.57,7,"NR7: range 2 nhỏ nhất 7 phiên — sắp bung | ATR 9.1% — SL hẹp, risk thấp"
PLX,MACD_CROSSOVER,2026-04-08,2026-04-09,40.5,38.0,44.0,2026-04-23,38.0,SL,-6.17,10,MACD crossover bullish (hist=0.04)
