config_file,strategy_name,portfolio_status,universe,tags,description,filter_count,filters,rank_count,rank,risk,stop_loss,take_profit,max_holding_bars,entry_every_n_bars,initial_atr_stop_mult,trailing_atr_mult,trailing_profit_activation
vn30_money_smt_hypotheses.json,breakout_after_accumulation_v3,CORE_MVP,VN30,"breakout,accumulation,smart_money_trace,money_cycle,ma_break","Accumulation base breakout: positive smart-money delta, value expansion, MA20/MA50 trend confirmation.",16,mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 50; data_quality_ok == true; breakout_20 == true; above_ma20 == true; above_ma50 == true; ma20_slope_5 >= 0; ma50_slope_10 >= -0.02; value_ratio_20 >= 1.1; smart_money_score_no_sector >= 58; smart_money_score_no_sector_delta >= 0; rs_percentile_20 >= 0.58; accumulation_days_10 >= 1; distribution_days_10 <= 1; CHDM50 >= 45; DS20 <= 0.55,4,edge_score_no_sector desc x1.5; value_ratio_20 desc x1.0; smart_money_score_no_sector_delta desc x0.8; rs_percentile_20 desc x0.8,initial_atr_stop_mult=2.3; max_holding_bars=45; stop_loss=0.09; take_profit=0.35; trailing_atr_mult=2.8; trailing_profit_activation=0.1; use_regime_exposure=true,0.09,0.35,45,,2.3,2.8,0.1
vn30_money_smt_hypotheses.json,mean_reversion_uptrend_ma20_v1,research/shadow,VN30,"mean_reversion,uptrend,ma20,smart_money_trace,money_cycle","Leader mean reversion in uptrend: pullback/reclaim around MA20, DS not rising, smart money remains healthy.",10,"mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 45; above_ma50 == true; distance_ma20 between [-0.05,0.025]; ma50_slope_10 >= -0.02; smart_money_score >= 58; rs_percentile_20 >= 0.58; distribution_days_10 <= 1; CHDM50 >= 45; DS20 not_up",4,edge_score desc x1.3; pullback_quality_score desc x1.0; rs_percentile_20 desc x0.8; distance_ma20 asc x0.4,initial_atr_stop_mult=2.1; max_holding_bars=35; stop_loss=0.07; take_profit=0.22; trailing_atr_mult=2.7; trailing_profit_activation=0.1; use_regime_exposure=true,0.07,0.22,35,,2.1,2.7,0.1
vn30_money_smt_hypotheses.json,mean_reversion_uptrend_ma50_v1,CORE_MVP,VN30,"mean_reversion,uptrend,ma50,smart_money_trace,money_cycle",Deeper leader mean reversion in uptrend: controlled pullback around MA50 with non-deteriorating DS and SMT.,10,"mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 45; data_quality_ok == true; distance_ma50 between [-0.06,0.04]; ma50_slope_10 >= -0.03; smart_money_score_no_sector >= 56; rs_percentile_20 >= 0.55; distribution_days_10 <= 1; CHDM50 >= 42; DS20 not_up",4,edge_score_no_sector desc x1.2; pullback_quality_score desc x1.0; smart_money_score_no_sector desc x0.8; distance_ma50 asc x0.4,initial_atr_stop_mult=2.3; max_holding_bars=45; stop_loss=0.08; take_profit=0.25; trailing_atr_mult=3.0; trailing_profit_activation=0.12; use_regime_exposure=true,0.08,0.25,45,,2.3,3.0,0.12
vn30_money_smt_hypotheses.json,rotation_weekly_smt_money_cycle_v1,research/shadow,VN30,"rotation,weekly,smart_money_trace,money_cycle,relative_strength","Weekly VN30 top-rank rotation by smart money, relative strength, money cycle, and value flow.",7,mkt_regime_state not_in [RISK_OFF]; edge_score >= 58; smart_money_score >= 52; rs_percentile_20 >= 0.5; distribution_days_10 <= 2; above_ma50 == true; CHDM50 >= 40,4,edge_score desc x2.0; smart_money_score desc x1.0; rs_percentile_20 desc x1.0; CHDM50 desc x0.6,entry_every_n_bars=5; max_holding_bars=5; stop_loss=0.08; take_profit=0.18; use_regime_exposure=true,0.08,0.18,5,5,,,
vn30_money_smt_hypotheses.json,rotation_monthly_smt_money_cycle_v1,research/shadow,VN30,"rotation,monthly,smart_money_trace,money_cycle,relative_strength","Monthly VN30 top-rank rotation by smart money, relative strength, money cycle, and value flow.",7,mkt_regime_state not_in [RISK_OFF]; edge_score >= 60; smart_money_score >= 55; rs_percentile_20 >= 0.55; distribution_days_10 <= 2; above_ma50 == true; CHDM50 >= 42,4,edge_score desc x2.0; smart_money_score desc x1.0; rs_percentile_20 desc x1.0; CHDM50 desc x0.6,entry_every_n_bars=20; initial_atr_stop_mult=2.8; max_holding_bars=20; stop_loss=0.1; take_profit=0.3; use_regime_exposure=true,0.1,0.3,20,20,2.8,,
vn30_money_smt_hypotheses.json,composite_edge_score_v2,research/shadow,VN30,"score,money_cycle,smart_money_trace,relative_strength,market_regime,grid_selected",Grid-selected composite scoring variant with lower smart-money floor and strong drawdown control.,8,mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 50; edge_score >= 65; smart_money_score >= 55; rs_percentile_20 >= 0.55; distribution_days_10 <= 2; above_ma50 == true; DS20 <= 0.55,4,edge_score desc x2.0; smart_money_score desc x1.0; rs_percentile_20 desc x0.8; value_ratio_20 desc x0.4,initial_atr_stop_mult=2.5; max_holding_bars=60; stop_loss=0.08; take_profit=0.3; trailing_atr_mult=3.0; trailing_profit_activation=0.12; use_regime_exposure=true,0.08,0.3,60,,2.5,3.0,0.12
vn30_money_smt_hypotheses.json,composite_edge_score_v1,research/shadow,VN30,"score,money_cycle,smart_money_trace,relative_strength,market_regime","Soft scoring model across smart money, money cycle, relative strength, value flow, and regime.",8,mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 50; edge_score >= 65; smart_money_score >= 58; rs_percentile_20 >= 0.55; distribution_days_10 <= 2; above_ma50 == true; DS20 <= 0.55,4,edge_score desc x2.0; smart_money_score desc x1.0; rs_percentile_20 desc x0.8; value_ratio_20 desc x0.4,initial_atr_stop_mult=2.5; max_holding_bars=60; stop_loss=0.08; take_profit=0.3; trailing_atr_mult=3.0; trailing_profit_activation=0.12; use_regime_exposure=true,0.08,0.3,60,,2.5,3.0,0.12
vn30_money_smt_hypotheses.json,accumulation_breakout_smt_v1,CORE_MVP,VN30,"breakout,accumulation,money_cycle,smart_money_trace",Breakout from accumulation with smart money and value expansion confirmation.,11,mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 50; breakout_20 == true; value_ratio_20 >= 1.15; smart_money_score >= 60; rs_percentile_20 >= 0.6; accumulation_days_10 >= 1; distribution_days_10 <= 1; above_ma50 == true; CHDM50 >= 45; DS20 <= 0.55,4,edge_score desc x1.5; value_ratio_20 desc x1.0; rs_percentile_20 desc x1.0; smart_money_score desc x1.0,initial_atr_stop_mult=2.2; max_holding_bars=45; stop_loss=0.09; take_profit=0.35; trailing_atr_mult=2.8; trailing_profit_activation=0.1; use_regime_exposure=true,0.09,0.35,45,,2.2,2.8,0.1
vn30_money_smt_hypotheses.json,accumulation_breakout_smt_v2,research/shadow,VN30,"breakout,accumulation,money_cycle,smart_money_trace,grid_selected",Grid-selected breakout variant with looser accumulation requirement and lower smart-money floor.,11,mkt_regime_state not_in [RISK_OFF]; mkt_regime_score >= 50; breakout_20 == true; value_ratio_20 >= 1.15; smart_money_score >= 55; rs_percentile_20 >= 0.6; accumulation_days_10 >= 0; distribution_days_10 <= 1; above_ma50 == true; CHDM50 >= 45; DS20 <= 0.55,4,edge_score desc x1.5; value_ratio_20 desc x1.0; rs_percentile_20 desc x1.0; smart_money_score desc x1.0,initial_atr_stop_mult=2.2; max_holding_bars=45; stop_loss=0.09; take_profit=0.35; trailing_atr_mult=2.8; trailing_profit_activation=0.1; use_regime_exposure=true,0.09,0.35,45,,2.2,2.8,0.1
vn30_money_smt_hypotheses.json,leader_pullback_market_regime_v3,CORE_MVP,VN30,"money_cycle,smart_money_trace,leader_pullback,market_regime",Leader pullback with explicit market-regime brake and breadth momentum guard.,15,"mkt_regime_state in [RISK_ON,NEUTRAL]; mkt_regime_score >= 55; mkt_CHDM20 > 45; mkt_DS20 < 0.45; mkt_DS50 < 0.5; mkt_CHDM20_delta >= -8; mkt_DS20_delta <= 0.12; smart_money_score >= 62; rs_percentile_20 >= 0.62; value_flow_quality_score >= 55; distribution_days_10 <= 1; above_ma50 == true; CHDM50 >= 45; CHDM03 up; DS20 not_up",5,smart_money_score desc x1.5; mkt_regime_score desc x1.0; rs_percentile_20 desc x1.0; value_flow_quality_score desc x1.0; CHDM50 desc x0.5,max_holding_bars=60; stop_loss=0.08; take_profit=0.25; use_regime_exposure=true,0.08,0.25,60,,,,
