symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
CTG,MACD_CROSSOVER,2024-01-02,2024-01-03,18.65,18.0,20.0,2024-02-28,25.0,REVERSAL_DOUBLE_TOP,32.17,35,MACD crossover bullish (hist=0.03) | Cross xảy ra trên zero line — signal mạnh hơn
CTG,SPRING,2024-02-28,2024-02-29,24.83,24.0,26.0,2024-03-01,24.0,SL,-3.34,1,HH: đỉnh 25 > 25 | HL: đáy 24 > 24 | Volume phiên tăng > giảm
CTG,BREAKOUT_RETEST_ENTRY,2024-03-04,2024-03-05,24.69,24.0,26.0,2024-03-08,24.0,SL,-2.79,3,Breakout 14 bars trước tại level 24 | Retest thành công (cách +4.7%) | Nến đóng xanh — support giữ vững
CTG,BULLISH_ENGULFING,2024-03-20,2024-03-21,23.73,23.0,25.0,2024-04-04,23.0,SL,-3.08,10,Engulfing: [23–24] nuốt [23–23] (body 3.5%) | Volume xanh 1.3× bar đỏ
CTG,NR7,2024-04-05,2024-04-08,22.84,22.0,24.0,2024-04-19,22.0,SL,-3.68,8,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.9% — SL hẹp, risk thấp"
CTG,HAMMER,2024-04-25,2024-04-26,22.32,21.0,24.0,2024-08-02,21.0,SL,-5.91,67,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 22
CTG,HAMMER,2024-08-06,2024-08-07,21.02,20.0,23.0,2024-09-13,24.0,REVERSAL_DOUBLE_TOP,13.89,25,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | RSI 35.7 — vùng oversold
CTG,RETEST,2024-09-13,2024-09-16,23.97,23.0,25.0,2024-10-22,24.0,TSL,0.13,26,Retest vùng breakout 24 (cách -1.6%) | Volume cạn 0.38× TB20 | Giá vẫn giữ trên vùng breakout
CTG,NR7,2024-10-23,2024-10-24,24.0,23.0,26.0,2024-11-15,23.0,SL,-4.17,16,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.9% — SL hẹp, risk thấp"
CTG,MOMENTUM_SURGE,2024-11-20,2024-11-21,23.32,23.0,24.0,2025-01-03,26.0,REVERSAL_DOUBLE_TOP,9.39,30,3 phiên tăng liên tiếp (+2.7% tổng) | Volume tăng theo đà giá
CTG,SPRING,2025-01-03,2025-01-06,25.55,25.0,26.0,2025-01-13,25.0,SL,-2.15,5,HH: đỉnh 27 > 27 | HL: đáy 25 > 24 | Volume phiên tăng > giảm
CTG,DOUBLE_BOTTOM,2025-01-13,2025-01-14,25.69,25.0,27.0,2025-01-16,25.0,SL,-2.69,2,Hai đáy 24 và 24 (chênh 1.5%) | Vượt neckline 25 | Chưa quá xa neckline — vào hàng còn hợp lý
