symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
VCB,MACD_CROSSOVER,2024-01-04,2024-01-05,57.04,56.0,59.0,2024-01-30,60.0,TSL,5.19,17,65.7,MACD crossover bullish (hist=0.32) | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=65.7 | pipeline_quality=MEDIUM | setup_score=66 | pipeline_money=87
VCB,BREAKOUT_RETEST_ENTRY,2024-03-13,2024-03-14,63.75,62.0,66.0,2024-03-18,62.0,SL,-2.75,2,65.2,Breakout 11 bars trước tại level 61 | Retest thành công (cách +4.3%) | Nến đóng xanh — support giữ vững | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=65.2 | pipeline_quality=MEDIUM | setup_score=65 | pipeline_money=87
VCB,SPRING,2024-05-06,2024-05-07,62.03,60.0,65.0,2024-05-24,60.0,SL,-3.27,13,63.2,HH: đỉnh 62 > 61 | HL: đáy 60 > 59 | Volume phiên tăng > giảm | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,RETEST,2024-07-12,2024-07-15,58.17,57.0,60.0,2024-09-04,60.0,TSL,3.15,35,62.0,Retest vùng breakout 59 (cách -1.0%) | Volume cạn 0.76× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,RETEST,2024-10-04,2024-10-07,61.29,60.0,63.0,2024-11-19,60.0,SL,-2.1,31,62.0,Retest vùng breakout 62 (cách -0.6%) | Volume cạn 0.64× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,RETEST,2024-11-27,2024-11-28,61.83,61.0,63.0,2024-12-31,61.0,SL,-1.34,23,65.2,Retest vùng breakout 62 (cách -1.0%) | Volume cạn 0.65× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=65.2 | pipeline_quality=MEDIUM | setup_score=88 | pipeline_money=50
VCB,BB_SQUEEZE,2025-01-16,2025-01-17,61.56,60.0,64.0,2025-03-28,65.0,TSL,5.59,45,71.7,BB squeeze: width 0.019 ≈ min 20 phiên (0.019) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=71.7 | pipeline_quality=STRONG | setup_score=81 | pipeline_money=87
VCB,RETEST,2025-06-19,2025-06-20,56.33,55.0,58.0,2025-07-29,61.0,REVERSAL_DOUBLE_TOP,7.6,27,62.0,Retest vùng breakout 57 (cách -0.7%) | Volume cạn 0.67× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,SPRING,2025-08-14,2025-08-15,66.97,65.0,70.0,2025-08-15,65.0,SL,-2.94,0,64.0,HH: đỉnh 64 > 63 | HL: đáy 61 > 59 | Volume phiên tăng > giảm | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=64.0 | pipeline_quality=MEDIUM | setup_score=62 | pipeline_money=87
VCB,MA_PULLBACK,2025-10-08,2025-10-09,64.5,63.0,67.0,2025-10-13,63.0,SL,-2.33,2,70.5,UPTREND (giá > MA20 > MA60 > MA200) | Pullback về MA60 (cách 2.3%) | RSI 57.2 trung tính | Volume giảm — áp lực bán cạn | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=70.5 | pipeline_quality=STRONG | setup_score=78 | pipeline_money=87
VCB,RETEST,2025-11-14,2025-11-17,60.0,58.0,63.0,2025-11-26,58.0,SL,-3.33,7,62.0,Retest vùng breakout 61 (cách -1.3%) | Volume cạn 0.55× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,RETEST,2025-12-31,2026-01-05,57.5,56.0,60.0,2026-02-06,65.0,TSL,13.04,24,62.0,Retest vùng breakout 59 (cách -2.4%) | Volume cạn 0.75× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,BB_SQUEEZE,2026-04-08,2026-04-09,60.0,58.0,63.0,2026-04-29,60.0,END_OF_DATA,-0.33,13,71.7,BB squeeze: width 0.063 ≈ min 20 phiên (0.063) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=71.7 | pipeline_quality=STRONG | setup_score=81 | pipeline_money=87
